'2010-03-04',31532
'2010-03-11',30931
'2010-03-18',31015
'2010-03-25',30370
'2010-04-01',31109
'2010-04-08',30524
'2010-04-15',30559
'2010-04-22',30595
'2010-04-29',30710
'2010-05-06',29586
'2010-05-13',31612
'2010-05-20',27768
'2010-05-27',32329
'2010-06-03',34343
'2010-06-10',35173
'2010-06-17',30648
'2010-06-24',29945
'2010-07-01',33695
'2010-07-08',31481
'2010-07-15',30286
'2010-07-22',31961
'2010-07-29',30170
'2010-08-05',30168
'2010-08-12',29561
'2010-08-19',29983
'2010-08-26',30870
'2010-09-02',30958
'2010-09-09',31088
'2010-09-16',30620
'2010-09-23',29971
'2010-09-30',26934
'2010-10-07',29714
'2010-10-14',29537
'2010-10-21',29479
'2010-10-28',27548
'2010-11-04',30469
'2010-11-11',30727
'2010-11-18',31488
'2010-11-25',32119
'2010-12-02',33225
'2010-12-09',31757
'2010-12-16',34799
'2010-12-23',33116
'2010-12-30',35301
'2011-01-06',36430
'2011-01-13',33344
'2011-01-20',36079
'2011-01-27',35128
'2011-02-03',35667
'2011-02-10',34113
'2011-02-17',33712
'2011-02-24',34278
'2011-03-03',33696
'2011-03-10',33285
'2011-03-17',32690
'2011-03-24',32378
'2011-03-31',29516
'2011-04-07',31194
'2011-04-14',31926
'2011-04-21',31634
'2011-04-28',30138
'2011-05-05',29274
'2011-05-12',30479
'2011-05-19',29495
'2011-05-26',29974
'2011-06-02',30637
'2011-06-09',22619
'2011-06-16',29530
'2011-06-23',31884
'2011-06-30',29849
'2011-07-07',29565
'2011-07-14',29273
'2011-07-21',30957
'2011-07-28',30037
'2011-08-04',29794
'2011-08-11',29642
'2011-08-18',28560
'2011-08-25',27575
'2011-09-01',26992
'2011-09-08',26453
'2011-09-15',27075
'2011-09-22',27146
'2011-09-29',26019
'2011-10-06',26674
'2011-10-13',27292
'2011-10-20',27780
'2011-10-27',27390
'2011-11-03',27704
'2011-11-10',25885
'2011-11-17',25829
'2011-11-24',24881
'2011-12-01',28445
'2011-12-08',29631
'2011-12-15',28213
'2011-12-22',26992
'2011-12-29',28147
'2012-01-05',29481
'2012-01-12',29765
'2012-01-19',29349
'2012-01-26',30599
'2012-02-02',30207
'2012-02-09',31193
'2012-02-16',30969
'2012-02-23',31515
'2012-03-01',31370
'2012-03-08',29742
'2012-03-15',28861
'2012-03-22',29541
'2012-03-29',31453
'2012-04-05',33339
'2012-04-12',31155
'2012-04-19',30097
'2012-04-26',30004
'2012-05-03',30293
'2012-05-10',28659
'2012-05-17',25410
'2012-05-24',27167
'2012-05-31',28737
'2012-06-07',28314
'2012-06-14',28464
'2012-06-21',26043
'2012-06-28',27776
'2012-07-05',28641
'2012-07-12',28728
'2012-07-19',28614
'2012-07-26',28490
'2012-08-02',28186
'2012-08-09',30251
'2012-08-16',29940
'2012-08-23',28627
'2012-08-30',28761
'2012-09-06',28494
'2012-09-13',28907
'2012-09-20',28248
'2012-09-27',27807
'2012-10-04',28212
'2012-10-11',26990
'2012-10-18',26490
'2012-10-25',27389
'2012-11-01',27101
'2012-11-08',27936
'2012-11-15',27759
'2012-11-22',27533
'2012-11-29',27984
'2012-12-06',32012
'2012-12-13',32104
'2012-12-20',31436
'2012-12-27',33786
'2013-01-03',34317
'2013-01-10',33626
'2013-01-17',34549
'2013-01-24',34254
'2013-01-31',34779
'2013-02-07',35537
'2013-02-14',35007
'2013-02-21',35752
'2013-02-28',35122
'2013-03-07',33645
'2013-03-14',32810
'2013-03-21',33406
'2013-03-28',33588
'2013-04-04',32628
'2013-04-11',31907
'2013-04-18',30604
'2013-04-25',32432
'2013-05-02',33957
'2013-05-09',34822
'2013-05-16',33925
'2013-05-23',35155
'2013-05-30',31393
'2013-06-06',36252
'2013-06-13',33586
'2013-06-20',33124
'2013-06-27',32310
'2013-07-04',32300
'2013-07-11',30729
'2013-07-18',31156
'2013-07-25',31658
'2013-08-01',31129
'2013-08-08',31849
'2013-08-15',30542
'2013-08-22',29624
'2013-08-29',28803
'2013-09-05',28249
'2013-09-12',27776
'2013-09-19',27463
'2013-09-26',28254
'2013-10-03',28384
'2013-10-10',28542
'2013-10-17',28430
'2013-10-24',29446
'2013-10-31',29296
'2013-11-07',29684
'2013-11-14',29307
'2013-11-21',32391
'2013-11-28',31099
'2013-12-05',31008
'2013-12-12',30538
'2013-12-19',29705
'2013-12-26',29853
'2014-01-02',32806
